"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 08, 2017","227.05","226.91","227.45","224.96","320.19M","-0.07%"
"Jan 01, 2017","227.21","225.04","227.75","223.88","320.05M","1.65%"
"Dec 25, 2016","223.53","226.02","226.73","222.73","264.46M","-0.97%"
"Dec 18, 2016","225.71","225.25","226.57","224.92","341.01M","0.30%"
"Dec 11, 2016","225.04","226.40","228.34","224.67","636.39M","-0.65%"
"Dec 04, 2016","226.51","220.65","226.53","220.42","426.17M","3.11%"
"Nov 27, 2016","219.68","221.16","221.82","219.15","413.63M","-0.83%"
"Nov 20, 2016","221.52","219.17","221.56","219.00","234.32M","1.38%"
"Nov 13, 2016","218.50","217.03","219.27","215.72","407.91M","0.96%"
"Nov 06, 2016","216.42","211.45","218.31","211.30","747.66M","3.77%"
"Oct 30, 2016","208.55","212.93","213.19","208.38","485.45M","-1.88%"
"Oct 23, 2016","212.54","215.00","215.32","211.71","420.24M","-0.67%"
"Oct 16, 2016","213.98","213.09","214.64","212.17","364.39M","0.40%"
"Oct 09, 2016","213.12","216.16","216.70","211.21","450.79M","-0.89%"
"Oct 02, 2016","215.04","215.82","216.30","213.99","428.99M","-0.58%"
"Sep 25, 2016","216.30","215.02","217.12","213.62","501.01M","0.14%"
"Sep 18, 2016","215.99","214.13","217.53","213.03","410.51M","1.23%"
"Sep 11, 2016","213.37","212.39","216.81","212.31","786.10M","0.04%"
"Sep 04, 2016","213.28","218.70","219.22","213.25","428.95M","-2.33%"
"Aug 28, 2016","218.37","217.44","218.87","216.03","391.02M","0.50%"
"Aug 21, 2016","217.29","218.26","219.60","216.25","378.23M","-0.57%"
"Aug 14, 2016","218.54","218.89","219.50","217.02","306.59M","0.04%"
"Aug 07, 2016","218.46","218.40","218.94","217.23","282.92M","0.13%"
"Jul 31, 2016","218.18","217.19","218.23","214.25","338.08M","0.49%"
"Jul 24, 2016","217.12","217.00","217.54","215.62","354.59M","-0.06%"
"Jul 17, 2016","217.24","215.97","217.37","215.63","301.80M","0.65%"
"Jul 10, 2016","215.83","213.19","217.01","212.95","460.62M","1.50%"
"Jul 03, 2016","212.65","208.95","212.94","207.06","425.39M","1.30%"
"Jun 26, 2016","209.92","201.59","210.49","198.65","816.78M","3.34%"
"Jun 19, 2016","203.13","208.82","210.87","202.72","686.99M","-1.64%"
"Jun 12, 2016","206.52","209.36","210.37","205.59","618.52M","-1.69%"
"Jun 05, 2016","210.07","210.70","212.52","209.43","379.65M","-0.10%"
"May 29, 2016","210.28","210.56","210.93","208.86","344.62M","0.02%"
"May 22, 2016","210.24","205.51","210.25","204.99","350.93M","2.31%"
"May 15, 2016","205.49","204.96","207.34","202.78","536.33M","0.36%"
"May 08, 2016","204.76","205.57","208.54","204.38","419.64M","-0.47%"
"May 01, 2016","205.72","206.92","208.18","203.88","417.79M","-0.30%"
"Apr 24, 2016","206.33","208.26","209.81","205.03","459.00M","-1.26%"
"Apr 17, 2016","208.97","207.14","210.92","207.00","436.89M","0.57%"
"Apr 10, 2016","207.78","205.25","208.60","203.70","436.42M","1.60%"
"Apr 03, 2016","204.50","206.83","207.07","203.09","463.90M","-1.17%"
"Mar 27, 2016","206.92","203.61","207.14","202.40","450.70M","1.87%"
"Mar 20, 2016","203.12","204.07","205.23","201.74","335.81M","-0.62%"
"Mar 13, 2016","204.38","202.16","205.23","201.05","568.74M","0.80%"
"Mar 06, 2016","202.76","199.34","202.81","197.38","613.80M","1.16%"
"Feb 28, 2016","200.43","195.11","201.35","193.33","594.60M","2.74%"
"Feb 21, 2016","195.09","193.87","196.68","189.32","606.47M","1.61%"
"Feb 14, 2016","192.00","188.77","193.32","187.63","473.40M","2.88%"
"Feb 07, 2016","186.63","185.77","188.34","181.09","870.95M","-0.70%"
"Jan 31, 2016","187.95","192.53","194.58","187.10","844.00M","-2.98%"
"Jan 24, 2016","193.72","189.92","193.88","187.06","811.42M","1.68%"
"Jan 17, 2016","190.52","189.96","190.76","181.02","845.88M","1.44%"
"Jan 10, 2016","187.81","193.01","194.86","185.52","1.15B","-2.14%"
"Jan 03, 2016","191.92","200.49","201.90","191.58","908.57M","-5.86%"
"Dec 27, 2015","203.87","204.86","207.79","203.87","336.74M","-0.88%"
"Dec 20, 2015","205.68","201.41","206.33","200.09","369.65M","2.83%"
"Dec 13, 2015","200.02","202.07","208.48","199.83","957.96M","-0.92%"
"Dec 06, 2015","201.88","209.23","209.73","201.51","695.10M","-3.69%"
"Nov 29, 2015","209.62","209.75","211.00","204.75","678.26M","0.03%"
"Nov 22, 2015","209.56","209.38","209.98","207.41","253.10M","0.12%"
"Nov 15, 2015","209.31","202.32","210.12","202.18","542.34M","3.34%"
"Nov 08, 2015","202.54","209.31","209.49","202.44","549.62M","-3.57%"
"Nov 01, 2015","210.04","208.32","211.66","208.17","466.62M","1.01%"
"Oct 25, 2015","207.93","207.30","209.44","205.79","504.45M","0.20%"
"Oct 18, 2015","207.51","202.50","207.95","201.65","576.36M","2.09%"
"Oct 11, 2015","203.27","201.42","203.29","198.94","492.26M","0.96%"
"Oct 04, 2015","201.33","196.46","201.90","196.33","621.03M","3.25%"
"Sep 27, 2015","195.00","191.78","195.03","186.93","843.10M","1.11%"
"Sep 20, 2015","192.85","196.44","197.68","190.56","666.84M","-1.33%"
"Sep 13, 2015","195.45","196.95","202.89","194.96","792.54M","-0.66%"
"Sep 06, 2015","196.74","195.94","199.47","194.25","543.68M","2.15%"
"Aug 30, 2015","192.59","198.11","199.12","190.73","938.74M","-3.36%"
"Aug 23, 2015","199.28","187.49","199.84","182.40","1.65B","0.73%"
"Aug 16, 2015","197.83","208.71","210.68","197.52","864.63M","-5.53%"
"Aug 09, 2015","209.42","209.28","210.67","205.36","540.65M","0.71%"
"Aug 02, 2015","207.95","210.46","211.31","206.87","515.46M","-1.21%"
"Jul 26, 2015","210.50","206.94","211.45","206.26","556.27M","1.20%"
"Jul 19, 2015","208.00","212.75","213.18","207.60","445.34M","-2.11%"
"Jul 12, 2015","212.48","208.99","212.55","208.94","481.41M","2.41%"
"Jul 05, 2015","207.48","205.77","208.17","204.11","729.39M","0.08%"
"Jun 28, 2015","207.31","208.04","209.83","205.28","625.90M","-1.20%"
"Jun 21, 2015","209.82","211.91","212.59","209.16","432.76M","-0.47%"
"Jun 14, 2015","210.81","208.64","213.34","207.79","632.75M","0.38%"
"Jun 07, 2015","210.01","209.64","212.09","207.69","537.91M","0.11%"
"May 31, 2015","209.77","211.94","212.67","208.98","546.28M","-0.65%"
"May 24, 2015","211.14","212.40","212.98","210.20","417.42M","-0.87%"
"May 17, 2015","212.99","212.24","213.78","212.16","345.72M","0.26%"
"May 10, 2015","212.44","211.57","212.61","208.62","462.55M","0.39%"
"May 03, 2015","211.62","211.23","212.02","206.76","563.44M","0.43%"
"Apr 26, 2015","210.72","212.33","212.48","207.62","556.61M","-0.44%"
"Apr 19, 2015","211.65","209.06","211.97","208.90","406.93M","1.78%"
"Apr 12, 2015","207.95","209.87","211.04","207.01","509.11M","-1.00%"
"Apr 05, 2015","210.04","205.37","210.09","205.21","443.23M","1.74%"
"Mar 29, 2015","206.44","206.98","208.61","204.51","447.15M","0.34%"
"Mar 22, 2015","205.74","210.42","211.11","204.12","581.12M","-2.22%"
"Mar 15, 2015","210.41","206.71","211.27","205.86","755.05M","2.23%"
"Mar 08, 2015","205.83","207.74","208.79","204.40","613.49M","-0.80%"
"Mar 01, 2015","207.50","210.78","212.06","207.10","577.32M","-1.50%"
"Feb 22, 2015","210.66","210.94","212.24","210.48","400.72M","-0.27%"
"Feb 15, 2015","211.24","209.40","211.33","208.73","389.98M","0.70%"
"Feb 08, 2015","209.78","204.77","209.84","204.13","465.69M","2.06%"
"Feb 01, 2015","205.55","200.05","207.24","197.86","645.25M","3.06%"
"Jan 25, 2015","199.45","204.71","205.56","198.68","765.88M","-2.69%"
"Jan 18, 2015","204.97","202.40","206.26","200.17","545.81M","1.66%"
"Jan 11, 2015","201.63","204.41","205.48","198.55","940.43M","-1.28%"
"Jan 04, 2015","204.25","204.17","206.42","198.85","809.92M","-0.57%"
"Dec 28, 2014","205.43","208.22","208.97","204.18","404.98M","-1.44%"
"Dec 21, 2014","208.44","206.75","208.85","206.46","370.78M","0.93%"
"Dec 14, 2014","206.52","201.98","212.97","197.86","1.21B","2.80%"
"Dec 07, 2014","200.89","207.52","208.12","200.85","754.97M","-3.42%"
"Nov 30, 2014","208.00","206.40","208.47","205.38","429.77M","0.39%"
"Nov 23, 2014","207.20","207.17","207.87","206.80","265.05M","0.25%"
"Nov 16, 2014","206.68","203.85","207.84","203.65","454.05M","1.19%"
"Nov 09, 2014","204.24","203.38","204.83","203.13","376.71M","0.44%"
"Nov 02, 2014","203.34","201.92","203.60","200.06","475.41M","0.83%"
"Oct 26, 2014","201.66","195.73","201.82","195.03","592.48M","2.66%"
"Oct 19, 2014","196.43","188.13","196.49","188.07","709.65M","4.22%"
"Oct 12, 2014","188.47","190.46","191.15","181.92","1.31B","-1.09%"
"Oct 05, 2014","190.54","197.34","197.60","190.49","871.77M","-3.04%"
"Sep 28, 2014","196.52","196.20","198.30","192.35","683.07M","-0.70%"
"Sep 21, 2014","197.90","200.35","200.38","196.27","598.07M","-1.40%"
"Sep 14, 2014","200.70","199.16","201.90","198.38","560.51M","0.79%"
"Sep 07, 2014","199.13","200.92","201.21","198.56","404.29M","-0.98%"
"Aug 31, 2014","201.11","200.97","201.58","199.41","317.30M","0.20%"
"Aug 24, 2014","200.71","200.14","200.82","199.15","283.26M","0.76%"
"Aug 17, 2014","199.19","196.80","199.76","196.69","351.22M","1.77%"
"Aug 10, 2014","195.72","193.97","196.65","192.94","414.54M","1.28%"
"Aug 03, 2014","193.24","192.87","194.30","190.55","591.60M","0.38%"
"Jul 27, 2014","192.50","197.76","198.45","191.57","626.69M","-2.64%"
"Jul 20, 2014","197.72","197.09","199.06","196.43","334.61M","0.01%"
"Jul 13, 2014","197.71","197.61","198.26","195.43","519.81M","0.56%"
"Jul 06, 2014","196.61","197.82","197.98","195.06","406.12M","-0.80%"
"Jun 29, 2014","198.20","195.70","198.29","195.53","266.39M","1.22%"
"Jun 22, 2014","195.82","195.99","196.50","194.13","405.40M","-0.06%"
"Jun 15, 2014","195.94","193.89","196.60","193.66","464.04M","0.93%"
"Jun 08, 2014","194.13","195.35","196.05","193.11","379.39M","-0.64%"
"Jun 01, 2014","195.38","192.95","195.43","191.97","356.03M","1.40%"
"May 25, 2014","192.68","191.06","192.80","190.95","279.43M","1.22%"
"May 18, 2014","190.35","187.69","190.48","187.07","386.28M","1.22%"
"May 11, 2014","188.05","188.80","190.42","186.48","478.17M","0.05%"
"May 04, 2014","187.96","187.14","189.05","186.01","445.13M","-0.05%"
"Apr 27, 2014","188.06","187.05","189.14","184.96","511.87M","0.95%"
"Apr 20, 2014","186.29","186.44","188.40","185.87","416.54M","-0.05%"
"Apr 13, 2014","186.39","182.93","186.91","181.44","499.93M","2.69%"
"Apr 06, 2014","181.51","185.95","187.17","181.31","693.93M","-2.62%"
"Mar 30, 2014","186.40","186.67","189.70","185.52","514.53M","0.49%"
"Mar 23, 2014","185.49","186.84","187.34","183.90","589.13M","-0.38%"
"Mar 16, 2014","186.20","185.59","189.02","185.47","656.80M","0.83%"
"Mar 09, 2014","184.66","187.97","188.71","184.44","587.71M","-1.91%"
"Mar 02, 2014","188.26","184.65","188.96","183.75","620.70M","1.06%"
"Feb 23, 2014","186.29","184.28","187.15","184.20","574.55M","1.31%"
"Feb 16, 2014","183.89","184.18","184.95","182.60","430.10M","-0.07%"
"Feb 09, 2014","184.02","179.70","184.36","179.21","501.79M","2.42%"
"Feb 02, 2014","179.68","177.97","179.87","173.71","887.74M","0.84%"
"Jan 26, 2014","178.18","179.06","179.81","176.88","821.52M","-0.40%"
"Jan 19, 2014","178.89","184.70","184.77","178.83","491.07M","-2.58%"
"Jan 12, 2014","183.63","183.67","184.94","181.34","533.57M","-0.28%"
"Jan 05, 2014","184.14","183.49","184.22","182.08","483.46M","0.69%"
"Dec 29, 2013","182.88","183.87","184.69","182.48","344.13M","-0.52%"
"Dec 22, 2013","183.84","182.45","184.18","182.06","256.15M","1.26%"
"Dec 15, 2013","181.56","178.95","181.99","177.32","754.37M","1.94%"
"Dec 08, 2013","178.11","181.47","181.67","177.76","505.06M","-1.56%"
"Dec 01, 2013","180.94","181.09","181.43","178.35","573.98M","-0.03%"
"Nov 24, 2013","181.00","181.13","181.75","180.37","281.15M","0.11%"
"Nov 17, 2013","180.81","180.35","180.83","177.98","497.73M","0.42%"
"Nov 10, 2013","180.05","177.12","180.12","176.09","456.70M","1.56%"
"Nov 03, 2013","177.29","176.69","177.64","174.76","552.56M","0.61%"
"Oct 27, 2013","176.21","175.89","177.51","175.22","588.98M","0.15%"
"Oct 20, 2013","175.95","174.45","176.00","173.96","500.23M","0.89%"
"Oct 13, 2013","174.39","169.21","174.51","169.08","696.97M","2.43%"
"Oct 06, 2013","170.26","167.42","170.32","164.53","744.28M","0.81%"
"Sep 29, 2013","168.89","167.48","169.50","166.84","658.02M","-0.01%"
"Sep 22, 2013","168.91","170.49","170.65","168.47","504.54M","-1.06%"
"Sep 15, 2013","170.72","171.16","173.60","170.04","691.66M","0.82%"
"Sep 08, 2013","169.33","166.45","169.56","166.45","443.89M","1.98%"
"Sep 01, 2013","166.04","165.23","166.98","163.70","462.61M","1.46%"
"Aug 25, 2013","163.65","166.79","167.30","163.05","610.57M","-1.78%"
"Aug 18, 2013","166.62","165.64","166.83","164.19","537.63M","0.48%"
